plz;ort;bezirk;bundesland;gueltigab;gueltigbis;plztyp;internextern;adressierbar;postfach
2073;Schrattenthal;Hollabrunn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2074;Unterretzbach;Hollabrunn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2081;Niederfladnitz;Hollabrunn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2081;Niederfladnitz;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2082;Hardegg;Hollabrunn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2083;Pleißing;Hollabrunn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2084;Weitersfeld;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2091;Langau;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2092;Riegersburg;Hollabrunn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2093;Geras;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2094;Zissersdorf;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2094;Zissersdorf;"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2095;Drosendorf;"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2095;Drosendorf;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2100;Korneuburg;Korneuburg;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2102;Bisamberg;Korneuburg;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2103;Langenzersdorf;Korneuburg;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2104;Spillern;Korneuburg;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2105;Oberrohrbach;Korneuburg;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2111;"Rückersdorf-Harmannsdorf";Korneuburg;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2112;Würnitz;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2112;Würnitz;Korneuburg;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2113;Karnabrunn;Korneuburg;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2114;Großrußbach;Korneuburg;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2114;Großrußbach;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2115;Ernstbrunn;Korneuburg;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2115;Ernstbrunn;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2116;Niederleis;Korneuburg;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2116;Niederleis;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2120;"Wolkersdorf im Weinviertel";Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2122;Ulrichskirchen;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2123;Schleinbach;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2124;Niederkreuzstetten;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2125;Neubau;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2126;Ladendorf;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2130;Mistelbach;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2132;Frättingsdorf;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2133;Loosdorf;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2134;"Staatz-Kautendorf";Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2135;"Neudorf im Weinviertel";Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2136;"Laa an der Thaya";Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2141;Ameis;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2143;Großkrut;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2144;Altlichtenwarth;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2145;Hausbrunn;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2151;"Asparn an der Zaya";Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2152;Gnadendorf;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2153;Stronsdorf;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2154;Unterstinkenbrunn;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2161;Poysbrunn;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2162;Falkenstein;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2163;Ottenthal;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2164;Wildendürnbach;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2165;Drasenhofen;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2170;Poysdorf;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2171;Herrnbaumgarten;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2172;Schrattenberg;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2181;Dobermannsdorf;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2182;Palterndorf;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2183;"Neusiedl an der Zaya";Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2184;Hauskirchen;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2185;"Prinzendorf an der Zaya";Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2185;"Prinzendorf an der Zaya";Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2191;Gaweinstal;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2192;Kettlasbrunn;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2193;Wilfersdorf;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2201;Gerasdorf;Korneuburg;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2202;Enzersfeld;Korneuburg;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2203;Großebersdorf;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2211;Pillichsdorf;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2212;Großengersdorf;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2213;Bockfließ;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2214;Auersthal;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2215;Raggendorf;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2221;"Groß Schweinbarth";Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2222;"Bad Pirawarth";Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2223;Hohenruppersdorf;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2223;Hohenruppersdorf;Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2224;Obersulz;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2225;Zistersdorf;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2230;Gänserndorf;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2231;"Strasshof an der Nordbahn";Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2231;"Strasshof an der Nordbahn";Mistelbach;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2232;"Deutsch Wagram";Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
2241;Schönkirchen;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2242;Prottes;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2243;Matzen;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
2244;Spannberg;Gänserndorf;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
