plz;ort;bezirk;bundesland;gueltigab;gueltigbis;plztyp;internextern;adressierbar;postfach
3524;Grainbrunn;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3525;Sallingberg;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3531;Niedernondorf;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3532;Rastenfeld;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3532;Rastenfeld;"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3533;Friedersbach;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3541;Senftenberg;"Krems an der Donau(Stadt)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3541;Senftenberg;"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3542;Gföhl;"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3543;"Krumau am Kamp";"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3544;Idolsberg;"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3550;Langenlois;"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3552;Lengenfeld;"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3553;Schiltern;"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3561;Zöbing;"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3562;Schönberg;"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3564;"Plank am Kamp";"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3571;"Gars am Kamp";Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3572;"St. Leonhard am Hornerwald";"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3573;Rosenburg;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3580;Horn;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3591;Altenburg;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3592;Röhrenbach;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3593;Neupölla;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3593;Neupölla;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3594;Franzen;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3595;"Brunn an der Wild";Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3601;Dürnstein;"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3602;Rossatz;"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3610;"Weißenkirchen in der Wachau";"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3611;Großheinrichschlag;"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3613;"Albrechtsberg an der Großen Krems";"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3620;Spitz;"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3621;Mitterarnsdorf;"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3622;Mühldorf;"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3622;Mühldorf;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3623;Kottes;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3631;Ottenschlag;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3632;"Bad Traunstein";Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3633;Schönbach;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3641;"Aggsbach Markt";"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3642;"Aggsbach Dorf";"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3643;"Maria Laach am Jauerling";"Krems(Land)";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3644;"Emmersdorf an der Donau";Melk;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3650;Pöggstall;Melk;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3652;Leiben;Melk;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3653;Weiten;Melk;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3654;Raxendorf;Melk;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3660;"Klein-Pöchlarn";Melk;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3661;Artstetten;Melk;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3662;Münichreith;Melk;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3663;"Laimbach am Ostrong";Melk;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3664;Martinsberg;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3665;Gutenbrunn;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3671;"Marbach an der Donau";Melk;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3672;"Maria Taferl";Melk;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3680;Persenbeug;Melk;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3681;"Hofamt Priel";Melk;N;"2013-03-01";;"PLZ-Adressierung";extern;Ja;Nein
3683;Yspertal;Melk;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3684;"St. Oswald";Melk;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3691;Nöchling;Melk;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3701;Großweikersdorf;Tulln;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3701;Großweikersdorf;Korneuburg;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3701;Großweikersdorf;Hollabrunn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3702;Niederrußbach;Korneuburg;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3704;Glaubendorf;Hollabrunn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3710;Ziersdorf;Hollabrunn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3711;Großmeiseldorf;Hollabrunn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3712;Maissau;Hollabrunn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3713;Harmannsdorf;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3713;Harmannsdorf;Hollabrunn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3714;"Sitzendorf an der Schmida";Hollabrunn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3720;Ravelsbach;Hollabrunn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3721;Limberg;Hollabrunn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3722;Straning;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3730;Eggenburg;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3741;Pulkau;Hollabrunn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3742;Theras;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3742;Theras;Hollabrunn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3743;Röschitz;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3744;Stockern;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3751;Sigmundsherberg;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3752;Walkenstein;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3753;Hötzelsdorf;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3754;Irnfritz;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3761;Messern;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3762;Ludweis;"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3763;Japons;Horn;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3800;"Göpfritz an der Wild";Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3804;Allentsteig;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3811;"Kirchberg an der Wild";Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3812;"Groß Siegharts";"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3813;Dietmanns;"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3814;Aigen;"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3820;"Raabs an der Thaya";"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3822;"Karlstein an der Thaya";"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3823;"Weikertschlag an der Thaya";"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3824;Großau;"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3830;"Waidhofen an der Thaya";"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3834;"Pfaffenschlag bei Waidhofen an der Thaya";"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3834;"Pfaffenschlag bei Waidhofen an der Thaya";Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3841;Windigsteig;"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3842;Thaya;"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3843;Dobersberg;"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3844;"Waldkirchen an der Thaya";"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3851;Kautzen;"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3852;Gastern;"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3860;Heidenreichstein;Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3861;Eggern;Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3862;Eisgarn;Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3863;Reingers;Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3871;Nagelberg;Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3872;Langegg;Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3873;Brand;Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3874;Litschau;Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3900;Schwarzenau;"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3900;Schwarzenau;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3902;Vitis;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3902;Vitis;"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3903;Echsenbach;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3910;Zwettl;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3911;Rappottenstein;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3912;Grafenschlag;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3913;Großgöttfritz;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3914;Waldhausen;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3920;"Groß Gerungs";Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3921;Langschlag;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3922;Großschönau;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3922;Großschönau;Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3923;Jagenbach;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3923;Jagenbach;Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3924;"Rosenau Schloß";Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3925;Arbesbach;Freistadt;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3925;Arbesbach;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3931;Schweiggers;Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3932;"Kirchberg am Walde";Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3932;"Kirchberg am Walde";"Waidhofen an der Thaya";N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3932;"Kirchberg am Walde";Zwettl;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3942;Hirschbach;Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3943;Schrems;Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3944;Pürbach;Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3945;Hoheneich;Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3950;Gmünd;Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3961;Waldenstein;Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3962;"Heinrichs bei Weitra";Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
3970;Weitra;Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3971;"St. Martin";Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3972;"Bad Großpertholz";Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
3973;Karlstift;Gmünd;N;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4020;Linz;"Linz(Stadt)";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4020;Linz;"Stadt Linz";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4020;Linz;"Linz-Land";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4030;Linz;"Stadt Linz";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4030;Linz;"Linz(Stadt)";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4040;Linz;"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4040;Linz;"Stadt Linz";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4040;Linz;"Linz(Stadt)";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4048;Puchenau;"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4050;Traun;"Linz-Land";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4052;Ansfelden;"Linz-Land";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4052;Ansfelden;"Linz(Stadt)";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4053;Haid;"Linz-Land";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4055;Pucking;"Linz-Land";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4060;Leonding;"Linz-Land";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4061;Pasching;"Linz-Land";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4062;Thening;"Linz-Land";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4063;Hörsching;"Linz-Land";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4064;Oftering;"Linz-Land";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4070;Eferding;Eferding;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4072;Alkoven;Eferding;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4073;Wilhering;"Linz-Land";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4074;Stroheim;Eferding;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4075;Breitenaich;Eferding;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4076;"St. Marienkirchen an der Polsenz";Eferding;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4081;Hartkirchen;Eferding;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4082;"Aschach an der Donau";Eferding;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4083;"Haibach ob der Donau";Eferding;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4083;"Haibach ob der Donau";Grieskirchen;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4084;"St. Agatha";Grieskirchen;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4085;Wesenufer;Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4085;Wesenufer;Grieskirchen;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4085;Wesenufer;Schärding;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4090;Engelhartszell;Schärding;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4091;Vichtenstein;Schärding;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4092;Esternberg;Schärding;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4100;Ottensheim;"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4101;"Feldkirchen an der Donau";"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4102;Goldwörth;"Urfahr-Umgebung";O;"2011-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4111;Walding;"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4112;Rottenegg;"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4113;"St. Martin im Mühlkreis";"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4113;"St. Martin im Mühlkreis";Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4114;"Neuhaus an der Donau";Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4115;"Kleinzell im Mühlkreis";Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4116;"St. Ulrich im Mühlkreis";Rohrbach;O;"2012-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4120;Neufelden;Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4121;Altenfelden;Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4122;Arnreit;Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4131;"Kirchberg ob der Donau";Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4132;"Lembach im Mühlkreis";Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4133;Niederkappel;Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4134;Putzleinsdorf;Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4141;"Pfarrkirchen im Mühlkreis";Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4142;"Hofkirchen im Mühlkreis";Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4143;"Neustift im Mühlkreis";Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4144;Oberkappel;Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4150;"Rohrbach in Oberösterreich";Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4151;Oepping;Rohrbach;O;"2010-07-01";;"PLZ-Adressierung";extern;Ja;Nein
4152;Sarleinsbach;Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4153;"Peilstein im Mühlviertel";Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4154;Kollerschlag;Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4155;Nebelberg;Rohrbach;O;"2014-03-01";;"PLZ-Adressierung";extern;Ja;Ja
4160;"Aigen-Schlägl";Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4161;Ulrichsberg;Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4162;Julbach;Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4163;"Klaffer am Hochficht";Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4164;"Schwarzenberg am Böhmerwald";Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4170;"Haslach an der Mühl";Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4171;"St. Peter am Wimberg";Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4172;"St. Johann am Wimberg";Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4173;"St. Veit im Mühlkreis";Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4174;Niederwaldkirchen;Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4175;Herzogsdorf;Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4175;Herzogsdorf;"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4180;"Zwettl an der Rodl";"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4181;Oberneukirchen;"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4182;Waxenberg;Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4182;Waxenberg;"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4183;Traberg;"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4183;Traberg;Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4184;Helfenberg;"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4184;Helfenberg;Rohrbach;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4190;"Bad Leonfelden";"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4191;Vorderweißenbach;"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4192;Schenkenfelden;Freistadt;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4192;Schenkenfelden;"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4193;Reichenthal;"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4193;Reichenthal;Freistadt;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4201;Gramastetten;"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4202;Hellmonsödt;"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4203;"Altenberg bei Linz";"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4204;"Reichenau im Mühlkreis";"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4209;Engerwitzdorf;"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4210;Gallneukirchen;"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4211;"Alberndorf in der Riedmark";Freistadt;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4211;"Alberndorf in der Riedmark";"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4212;"Neumarkt im Mühlkreis";Freistadt;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4213;Unterweitersdorf;Freistadt;O;"2010-07-01";;"PLZ-Adressierung";extern;Ja;Ja
4221;Steyregg;"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4222;"St. Georgen an der Gusen";"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4222;"St. Georgen an der Gusen";Perg;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4223;Katsdorf;Perg;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4224;"Wartberg ob der Aist";Perg;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4224;"Wartberg ob der Aist";Freistadt;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4225;Luftenberg;Perg;O;"2011-01-01";;"PLZ-Adressierung";extern;Ja;Nein
4230;Pregarten;Freistadt;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4232;"Hagenberg im Mühlkreis";Freistadt;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4240;Freistadt;Freistadt;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4240;Freistadt;"Urfahr-Umgebung";O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4242;"Hirschbach im Mühlkreis";Freistadt;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
4251;Sandl;Freistadt;O;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
